,code,name,subject_type,num_credits,period,course,language,content,mention,url,bibliography
0,614G01001,Programación I,Formación básica,6,1,1,"Español, Gallego","


Tema
Subtema


1 CONCEPTOS BÁSICOS  
1.1 Algoritmos 
1.1.1 Representación de algoritmos 

1.2 Programas 
1.2.1 Tipos de programas 

1.3 Lenguajes de programación 
1.3.1 Una visión histórica 
1.3.2 Clasificación de los lenguajes 
1.3.3 Instrucciones más importantes 
1.3.4 Propiedades de los lenguajes 

1.4 Traductores y Compiladores

1.5 Estructura de un programa 

1.6 Elementos de un programa 
1.6.1 Símbolos predefinidos 
1.6.2 Símbolos especiales 
1.6.3 Identificadores 
1.6.4 Etiquetas 
1.6.5 Comentarios 
1.6.6 Directivas 
1.6.7 Constantes 
1.6.8 Números 
1.6.9 Cadenas de carácteres 
1.6.10 Variables: Declaración e iniciación
1.6.11 Variables: Dirección de Memoria

1.7 Salida y Entrada 
1.7.1 Sentencias de salida 
1.7.2 Sentencias de entrada 

1.8 Tipos de datos y operadores
1.8.1 Tipos de datos 
1.8.2 Operadores 
1.8.3 Expresiones



2 SENTENCIAS DE CONTROL 
2.1 Secuencial

2.2 Alternativa
2.2.1 La sentencia condicional simple
2.2.2 La sentencia condicional múltiple

2.3 Repetitiva 
2.3.1 Introducción
2.3.2 Variables asociadas a los bucles 
2.3.3 Funcionamento de los diferentes tipos de bucles 
2.3.4 Bucle FOR
2.3.5 Equivalencia entre bucles
2.3.6 Errores en los bucles 
2.3.7 Diseño de bucles  


3 ARQUITECTURA DE UN PROGRAMA 
3.1 Procedimientos 
3.1 Funciones i Procedimientos 
3.1.1 Tipos de funciones y procedimientos
3.1.2 Parámetros por valor y referencia 
3.1.3 Parámetros protegidos 
3.1.4 La pila de activación de procedimientos y funciones 
3.1.5 Variables globales y locales: Alcance 
3.1.6 Efectos laterales

3.2 Recursividad
3.2.1 Naturaleza de la recursividad
3.2.2 Recursión infinita 



4 ESTRUCTURAS SIMPLES DE DATOS   
4.1 Arrays y Matrices
4.1.1 Tipo de dato ARRAY
4.1.2 Declaración de un Array 
4.1.3 Arrays de más de una dimensión 
4.1.4 Operaciones con Arrays y Matrices

4.2  Registros
4.2.1 Tipo de dato registro
4.2.2 Operaciones con registros

4.3 Cadenas de caracteres
4.3.1 Cadenas de longitud fija
4.3.2 Cadenas de longitud variable

4.4 Operaciones básicas sobre Arrays
4.4.1 Búsqueda
4.4.2 Ordenación 


5 ENTRADA / SALIDA 
5.1 Ficheros
5.2 Tipos
5.3 Operaciones y modos de acceso
5.4 Funciones y procedimientos predefinidos específicos 

",,https://guiadocente.udc.es/guia_docent/index.php?centre=614&ensenyament=614G01&assignatura=614G01001&any_academic=2019_20&idioma=cast&fitxa_apartat=3&idioma_assig=cast,"


Básica



               Kernighan, Brian W. Englewood Cliffs  (1988). The C Programming Language. New Jersey. Prentice Hall 
               K.N. King (2008). C programming. A modern Approach. Second Edition..  
               James L. Antonakos , Kenneth C. Mansfield  (2004). Programación estructurada en C. Madrid. Prentice-Hall 
               Luis Joyanes Aguilar, Ignacio Zahonero Martínez (2005). Programación en C metodología, algoritmos y estructura de datos. Madrid. McGraw-Hill 
               José R. García-Bermejo Giner (2008). Programación estructurada en C. Pearson  
               Luis Joyanes Aguilar (2011). Fundamentos de programación : algoritmos, estructuras de datos y objetos. Madrid. McGraw-Hill




 



Complementária



               Gabriela Márquez, Sonia Osorio, Noemí Olvera (2011). Introducción a la Programación Estructurada en C. Pearson 
               Andrés Marzal, Isabel García (2017). Introducción a la Programación con C. Publicacions de la Universitat Jaume I. Servei de Comunicació i Publicacions 
               Luis Joyanes Aguilar  (2002). Programación en C. libro de problemas. Madrid. McGraw-Hill




 

"
1,614G01002,Informática Básica,Formación básica,6,1,1,"Español, Gallego","


Tema
Subtema


Principios de la arquitectura de computadores 
Representación de la información
Historia del hardware computacional
Arquitectura de un computador 


Principios de Sistemas de Gestión de Bases de Datos e Introducción a los Sistemas Operativos 
Introducción a los Sistemas Operativos
Introducción a los Sistemas de Gestión de Bases de Datos
Introducción al modelo relacional
Introducción al SQL 


Principios de Redes de Comunicacións 
Redes: Introducción a Redes de Comunicaciones. Cableado y Topologías. El modelo OSI.  Conceptos básicos de Ethernet. Conceptos básicos de TCP/IP. Configuración de dispositivos finales. Funcionalidad básica de dispositivos de red: Switches y Routers.


",,https://guiadocente.udc.es/guia_docent/index.php?centre=614&ensenyament=614G01&assignatura=614G01002&any_academic=2019_20&idioma=cast&fitxa_apartat=3&idioma_assig=cast,"


Básica



               Ernesto Ariganello (2009). Reces Cisco. Guía de Estudio para la Certificación CCNA Routing y Switching. RA-MA 
               Vicente Trigo Aranda (2010). Del ábaco a Internet. Creaciones Copyright 
               A. Silberschatz; H. Korth; S. Sudarshan (2006). Fundamentos de Bases de Datos. Mc Graw Hill  
               A. Silberschatz; H. Korth; S. Sudarshan (2011). Database System Concepts (6th ed). McGraw-Hill  
               Elmasri, R.; Navathe, S.  (2007). Fundamentos de Sistemas de Bases de Datos. Addison-Wesley 
               Miles J. Murdocca; Vincent P. Heuring (2002). Principios de arquitectura de computadoras. Prentice-Hall 
               Allen B. Tucker, Robert E. Noonan (2001). Programming Languages: Principles and Paradigms. Mc Graw Hill 
               Carretero et al. (2007). Sistemas Operativos, una visión aplicada (2ª ed). Mc Graw Hill 
               Andrew S. Tanenbaum (2009). Sistemas Operativos Modernos (3ª ed). Prentice-Hall 
               Andrew S. Tanenbaum (2009). Modern Operating Systems (3rd ed). Pearson-Prentice Hall 
               Wendell Odom (2013). CCENT/CCNA ICND1 100-101 Official Cert Guide. Cisco Press




 



Complementária



               W. Stallings (2004). Comunicaciones y Redes de Computadores. Pearson - Prentice Hall 
               Silberschatz, A.; Galvin, P.B.; Gagne, G. (2005). Fundamentos de los Sistemas Operativos (7ª ed). Mc Graw Hill 
               M. Meyers (2009). Redes. Administración y mantenimiento. Anaya




 

"
2,614G01003,Cálculo,Formación básica,6,1,1,"Español, Gallego","


Tema
Subtema


Funciones reales de una variable real 
- Conjuntos de números
- Funciones reales de variable real
- Funciones elementales
- Límite de una función en un punto
- Continuidad
- Método de bisección
- Interpolación de Lagrange 


Cálculo diferencial de funciones reales de una variable real 
- Derivabilidad
- Derivada de funciones elementales
- Método de Newton-Raphson
- Extremos relativos y absolutos
- Teoremas de cálculo diferencial
- Aplicaciones inmediatas de la derivación
- Derivadas sucesivas
- Teorema de Taylor
- Derivación implícita y logarítmica



Cálculo integral de funciones reales de una variable real 
- La integral de Riemann
- Métodos elementales para el cálculo de primitivas
- Integrales impropias
- Aplicaciones de la integral
- Integración numérica
- Introducción a las ecuaciones diferenciales 

",,https://guiadocente.udc.es/guia_docent/index.php?centre=614&ensenyament=614G01&assignatura=614G01003&any_academic=2019_20&idioma=cast&fitxa_apartat=3&idioma_assig=cast,"


Básica



               R.T. Smith, R.B. Minton (2002). Calculus (Second edition). McGraw-Hill 
               J. Stewart (2001). Cálculo de una variable. Thomson Learning 
               M.T. Iglesias Otero (2011). MatLab para Cálculo en una variable. Andavira




 



Complementária



               J. de Burgos (2010). Test de cálculo infinitesimal : (enunciados, respuestas y justificación). Madrd : García-Maroto 
               B.D. Hahn, D.T. Valentine (2007). Essential Matlab for Engineers and Scientistics (3th ed.) . B.H. 
               S. Josa (1992). Cómo iniciarse en la resolución de integrales. Edunsa 
               S. Lantarón Sánchez, B. Llanas Juárez (2010). Matlab y Matemática Computacional . Bellisco Ediciones 
               R. Larson, R. Hostetler, B.H. Edwards (2010). Cálculo Esencial. Cengage Learning 
               C. Neuhauser (2004). Matemáticas para Ciencias. Pearson 
               A.M. Ramos del Olmo, J.M. Rey Cabezas (2017). Matemáticas básicas para el acceso a la universidad. Ediciones Pirámide, Colección Ciencia y Técnica




Página con applets interactivos: dm.udc.es/elearningBlog existelimite (con ejercicios resueltos): www.existelimite.com 

"
3,614G01004,Matemática Discreta,Formación básica,6,1,1,"Español, Gallego","

",,https://guiadocente.udc.es/guia_docent/index.php?centre=614&ensenyament=614G01&assignatura=614G01004&any_academic=2019_20&idioma=cast&fitxa_apartat=3&idioma_assig=cast,"

"
4,614G01009,Administración y Gestión de Organizaciones,Formación básica,6,1,1,"Español, Gallego","


Tema
Subtema


1 La empresa y el empresario en la Sociedad Actual.

La organización y su entorno: Análisis Económico.
La empresa como organización: Tipos de Empresas.
Los subsistemas de la empresa.
Concepto y funciones del empresario.
El plan de empresa y el modelo de negocio. 


2 El subsistema de Información Contable. 

Concepto y funciones del sistema de información contable.
Conceptos básicos de Contabilidad Financiera.
El proceso general de contabilidad.
La creación de valor en la empresa. 


3 Análisis económico-financiero de la empresa. 

Análisis económico de la empresa.
Análisis financiero de la empresa. 


4 Fundamentos de análisis de las operaciones financieras. 
Concepto de capital financiero.
Leyes financieras clásicas.
Rentas financieras.



5 El subsistema Financiero: La decisión de inversión. 
Concepto de inversión.
Tipos de inversión.
Metodos de evaluación financiera de una inversión. 


6 El subsistema Financiero: La decisión de financiación. 

El coste de las fuentes financieras.
Fuentes financieras a corto plazo.
Fuentes financieras a largo plazo. 


7 El subsistema Productivo. Los costes en la empresa. 

El sistema de producción de la empresa: Concepto y funciones.
Conceptos básicos de costes.
Métodos de asignación de costes. 


8 El subsistema Comercial. 

El sistema comercial de la empresa: Concepto y funciones.
Decisiones sobre producto, precio, promoción y distribución.



9 El subsistema de Recursos Humanos.

El sistema de recursos humanos de la empresa: Concepto y funciones.
La dirección de recursos humanos.




10 El Subsistema de Información Empresarial. 
La información como activo empresarial.
El sistema de información empresarial: Concepto y funciones. 
Los sistemas de información en la estrategia empresarial.  

",,https://guiadocente.udc.es/guia_docent/index.php?centre=614&ensenyament=614G01&assignatura=614G01009&any_academic=2019_20&idioma=cast&fitxa_apartat=3&idioma_assig=cast,"


Básica



               Suárez Suárez, A. (2001). Curso de Economía de la Empresa. Editorial Pirámide 
               Bueno Campos, Eduardo (2004). Curso básico de Economía de la Empresa. Editorial Pirámide 
               Amat Salas, Oriol (2008). Contabilidad y finanzas para no financieros. Ediciones Deusto 
               Boedo Vilabella, Lucía (2009). Las fuentes de financiación y su coste: aspectos conceptuales y operativa financiera. Editorial Netbiblo 
               Boedo Vilabella, Lucía (2010). Evaluación de un proyecto de inversión en entornos de certeza, riesgo e incertidumbre . Reprografía Noroeste




				En el desarrollo de los diferentes temas se utilizarán materiales realizados por los profesores de la asignatura y recursos en línea, como los ofrecidos en la web del IGAPE. Estos materiales y recursos serán incluidos en el Moodle oficial de la asignatura. 



Complementária



               Suárez Suárez, A (2005). Decisiones óptimas de inversión y financiación empresarial. Editorial Pirámide 
               Remirez Prados, José Antonio (2010). Como entender los datos de la prensa económica. Editorial ESIC 
               Omeñaca García, Jesús (2008). Contabilidad General. Ediciones Deusto 
               Laudon, K. (2008). Essentials of Management Information Systems. Prentice-Hall International 
               Aguado, J.; Lacalle, M; Cepeda, I (2005). Lecciones básicas de economía. International  Thomson Publishing 
               Blackstaff, Michael (2001). Business and Finance for It People. Springer-Verlag




 

"
5,614G01005,Tecnología Electrónica,Formación básica,6,2,1,"Español, Gallego","


Tema
Subtema


Tema 1. Circuitos eléctricos 
1.1 Conceptos básicos de electricidad. Ley de Ohm.
1.2 Fuentes de tensión y de corriente. Potencia.
1.3 Circuitos eléctricos. Reglas de Kirchhoff.
1.4 Teoremas de Circuitos. 


Tema 2. Carga y descarga del condensador. Amplificadores 
2.1 Formas de onda. Valores fundamentales.
2.2 Comportamiento de los parámetros del condensador en función del tiempo.
2.3 Circuito R-C en el dominio del tiempo.
2.4 Circuitos R-C integrador y diferenciador.
2.5 Fundamentos de amplificadores. 


Tema 3. Diodos de unión p-n 
3.1 Principios físicos de los dispositivos semiconductores.
3.2 Unión p-n.
3.3 Característica V-I del diodo. Modelos lineales del diodo.
3.4 Diodos de avalancha. Diodos LED. Fotodiodos. 


Tema 4. El transistor

4.1 El transistor unipolar MOSFET.
4.2 Características V-I en fuente común.
4.3 Regiones de funcionamiento y modelos equivalentes lineales.
4.4 El transistor MOSFET en amplificación y en conmutación.  


Tema 5. Familias lógicas

5.1 Introducción. Características generales de los circuitos digitales.
5.2 Inversor CMOS.
5.3 Puertas CMOS.
5.4 Familias CMOS. 

",,https://guiadocente.udc.es/guia_docent/index.php?centre=614&ensenyament=614G01&assignatura=614G01005&any_academic=2019_20&idioma=cast&fitxa_apartat=3&idioma_assig=cast,"


Básica



                (). . 





Apuntes de la asignatura. Profesores de la asignatura.
Circuitos eléctricos. Schaum. J.A.Edminister. Ed. McGraw Hill.
Electrónica. Allan R. Hambley. Ed. Prentice Hall
Electronics. Allan R. Hambley. Ed. Prentice Hall 



Complementária






Electricidad Básica. Problemas Resueltos. Julio C. Brégains y Paula M. Castro. Ed. Starbook, ISBN 978-84-15457-25-1, 2012.Electrónica Básica. Problemas Resueltos. Julio C. Brégains y Paula M. Castro. Ed. Starbook, 2012.  Introducción al análisis de circuitos. Robert L. Boylestad. Ec. Prentice HallIntroducción al análisis de circuitos. Un enfoque sistémico. Donald E. Scott. Ed. McGraw Hill.Microelectrónica. Circuitos y sistemas analógicos y digitales. Jacob Millman. Ed. Hispano Europea.Circuitos microelectrónicos. Adel S. Sedra y Kenneth C. Smith. Ed. OxfordPrincipios de electrónica. A.P.Malvino. Ed. McGraw-Hill.Electrónica: teoría de circuitos y dispositivos electrónicos. Robert L. Boylestad y Louis Nashelsky. Ed. Prentice Hall.Circuitos electrónicos. Análisis, simulación y diseño. Norbert R. Malik. Ed. Prentice Hall.Circuitos microelectrónicos. Análisis y diseño. M. H. Rashid. Ed. Thomson. 

"
6,614G01006,Programación II,Formación básica,6,2,1,"Español, Gallego","


Tema
Subtema


Gestión dinámica da memoria 
Organización dea memoria de un programa.
Definición de variables de tipo puntero.
Reserva y destrucción dinámica de memoria.
Asignación y comparación. 


Introducción a los Tipos Abstractos de Datos 
La  abstracción  en  programación: Concepto, Evolución  a  través  de  la  historia  de  la  programación, TAD  y  Programación  orientada  a  objetos.
La  modularidad  en  programación.
Tipos  Abstractos  de  Datos: Definición  y  concepto, Diferencias  entre  tipo  de  dato,  estructuras  de  datos  y  TAD, Construcción  de  un  TAD, Ventajas  de  la  abstracción  de  datos. 


Listas 
Especificación informal del TAD Lista.
Implementación del TAD Lista.
El TAD Lista ordenada: especificación e implementación.
Multilistas y listas multiordenadas: concepto, representaciones y usos. 


Pilas 
Especificación informal del TAD Pila.
Implementación del TAD Pila.
Aplicaciones en computación. 


Colas 
Especificación informal del TAD Cola.
Implementación del TAD Cola.
Variantes de las colas. Colas de prioridad.
Aplicaciones en computación. 


Árbores 
Definición de árbol y terminología
TAD Árbol binario: Especificación  informal, Implementación. 
Recorridos de árboles. 


Árboles de búsqueda 
Árboles binarios de búsqueda.
Árboles AVL. 

",,https://guiadocente.udc.es/guia_docent/index.php?centre=614&ensenyament=614G01&assignatura=614G01006&any_academic=2019_20&idioma=cast&fitxa_apartat=3&idioma_assig=cast,"


Básica



               Narasimha Karumanchi  (2017). Data Structures and Algorithms Made Easy, 5th Edition. CareerMonk Publications 
               Ignacio Zahonero y Luis Joyanes Aguilar (2004). Algoritmos y estructuras de datos: Una perspectiva en C.  McGraw-Hill 
               Kyle Loudon (1999). Mastering Algorithms with C. O'Reilly Media




 



Complementária



               Reema Thareja (2014). Data Structures Using C - Second Edition. Oxford University Press 
               Aaron M. Tenenbaum,? Yedidyah Langsam &? Moshe J. Augenstein (1989). Data Structures Using C. Prentice Hall 
               Richard F. Gilberg & Behrouz A. Forouzan (2005). Data Structures: A Pseudocode Approach with C (2nd Ed). Cengage Learning 
               Ignacio Zahonero y Luis Joyanes Aguilar (2005). Programación en C. Metodología, Algoritmos y Estructura de Datos, 2º Edición.  McGraw-Hill 
               Luis Joyanes Aguilar, Andrés Castillo Sanz, Lucas Sánchez García e Ignacio Zahonero Martínez  (2002). Programación en C. Libro de problemas. McGraw-Hill 
               Ignacio Zahonero, Lucas García Sánchez, Luis Joyanes Aguilar y Matilde Fernández Azuela (2005). Estructuras de datos en C (Serie Schaum). McGraw-Hill




Páxina oficial da contorna de desenvolvemento CLion: https://www.jetbrains.com/clion/ 

"
7,614G01007,Fundamentos de los Computadores,Formación básica,6,2,1,"Español, Gallego","


Tema
Subtema


I. Sistemas Digitales 
- Sistemas Combinacionales
- Sistemas Secuenciales



II. Estructura, Organización y Funcionamiento de Bloques Funcionales Básicos 
- Unidad de Procesamiento
- Unidad de Control
- Sistema de Entrada/Salida  

",,https://guiadocente.udc.es/guia_docent/index.php?centre=614&ensenyament=614G01&assignatura=614G01007&any_academic=2019_20&idioma=cast&fitxa_apartat=3&idioma_assig=cast,"


Básica



               Thomas L. Floyd (2009). Digital Fundamentals (10th Edition). Pearson International Edition 
               David A. Patterson, John L. Hennessy (2014). Computer organization and design : the hardware/software interface. Morgan Kaufmann Publishers  
               F. García Carballeira, J. Carretero, J.D. García Sánchez y D. Expósito Singh (2015). Problemas resueltos de estructura de computadores (2ª ed.). Paraninfo  
               Javier García Zubía (2003). Problemas resueltos de electrónica digital . Thomson




 



Complementária



               David M. Harris & Sarah L. Harris (2013). Digital Design and Computer Architecture. Morgan Kaufmann Publishers 
               Miles J. Murdocca y Vicent P. Heuring (2002). Principios de arquitectura de computadoras. Prentice Hall




 

"
8,614G01008,Estadística,Formación básica,6,2,1,"Español, Gallego","


Tema
Subtema


Probabilidad 
Definición de probabilidad. Propiedades
Probabilidad condicionada. Teorema de Bayes 


Variables aleatorias 
Variables aleatorias discretas
Variables aleatorias continuas
Teorema central del límite
Simulación 


Estadística descriptiva 
Distribuciones de frecuencias
Representaciones gráficas
Medidas de posición y de dispersión 


Inferencia estadística 
Introducción
Estimación puntual
Intervalos de confianza
Contrastes de hipótesis paramétricos
Contrastes de hipótesis no paramétricos 


Regresión simple 
Regresión lineal simple
Regresión no lineal 

",,https://guiadocente.udc.es/guia_docent/index.php?centre=614&ensenyament=614G01&assignatura=614G01008&any_academic=2019_20&idioma=cast&fitxa_apartat=3&idioma_assig=cast,"


Básica



               Cao, R., Francisco, M., Naya, S., Presedo, M.A., Vázquez, M., Vilar, J.A. y Vilar, J.M. (2001). Introducción a la Estadística y sus aplicaciones. Ediciones Pirámide 
               Eguzkitza Arrizabalaga, J.M. (2014).  Laboratorio de estadística y probabilidad con R. Gami Editorial




 



Complementária



               Blasco Lorenzo, A. y Pérez Díaz, S. (2015). Modelos aleatorios en ingeniería. Paraninfo 
               Devore, J.L. (2005). Probabilidad y Estadística para Ingeniería y Ciencias. Thomson 
               Gonick, L. y Smith, W. (2001). Á estatística ¡en caricaturas!. SGAPEIO 
               Hernández, V., Ramos, E. y Yáñez, I. (2007). Probabilidad y sus aplicaciones en Ingeniería Informática. Ediciones Académicas 
               Horgan, J.M. (2009). Probability with R. An Introduction with Computer Science Applications. Wiley 
               Montgomery, D.C. y Runger, G.C. (2004). Probabilidad y Estadística aplicadas a la Ingeniería. McGraw-Hill 
               Quintela del Río, A. (2013). El estadístico accidental. El autor 
               R Development Core Team (2000). Introducción a R. http://www.r-project.org/ 
               Ugarte, M.D., Militino, A.F., Arnholt, A.T. (2008). Probability and Statistics with R. Chapman and Hall/CRC




 

"
9,614G01010,Álgebra,Formación básica,6,2,1,"Español, Gallego","


Tema
Subtema


Tema 1: Aritmética modular y aplicación a la Criptografía. 
Nociones básicas de aritmética entera. Algoritmo de Euclides. Números primos. Ecuaciones diofánticas lineales. Congruencias. Aritmética modular. 
Definición de criptosistema. Criptografía clásica. Criptografía simétrica y asimétrica. Ejemplos de criptosistemas.
Sistemas de numeración. Criterios de divisibilidad.  


Tema 2: Sistemas de Ecuaciones Lineales, Matrices y Determinantes. 
Definición y propiedades de los sistemas de ecuaciones lineales. Sistemas escalonados. Método de Gauss. Matrices. Operaciones con matrices. Reducción a forma escalonada. Matriz invertible. Determinante de una matriz cuadrada, propiedades. 


Tema 3: Espacios Vectoriales. 
Definición y propiedades de los espacios vectoriales. Bases y coordenadas. Dimensión. Rango de un conjunto de vectores y rango de una matriz. Cálculo del rango. Cambio de base. Teorema de Rouché-Frobenius. 


Tema 4: Aplicaciones Lineales. 
Definición y propiedades de las aplicaciones lineales. Núcleo e imagen de una aplicación lineal. Matriz asociada a una aplicación lineal. Teorema de la dimensión. 


Tema 5: Códigos Lineales. 
Definición de códigos lineales. Parámetros de un código lineal. Distancia y peso de Hamming. Matriz generadora, matriz control de paridad. Corrección de errores en códigos lineales. Códigos de Hamming binarios. 

",,https://guiadocente.udc.es/guia_docent/index.php?centre=614&ensenyament=614G01&assignatura=614G01010&any_academic=2019_20&idioma=cast&fitxa_apartat=3&idioma_assig=cast,"


Básica



               Grossman, S. I. (1996). Álgebra lineal con aplicaciones. McGraw-Hill Interamericana México. 
               Grossman, S. I. (1994). Elementary Linear Algebra with Applications. Wiley 
               Merino, L. y Santos, E.  (2006). Álgebra Lineal con Métodos Elementales. Thomson. 
               Cameron, P. J. (1998). Introduction to Algebra. Oxford University Press, Oxford. 
               Rosen, K. H. (2004). Matemática Discreta y sus aplicaciones. McGraw-Hill Interamericana. 
               Rosen, K. H. (2003). Discrete Mathematics and Its Applications. McGraw-Hill 
               Biggs, N. L. (1994). Matemática Discreta. Madrid, Vicens Vives.  
               Lay, D. C. (2011). Linear Algebra and Its Applications. Pearson 
               Lay, D. C.  (2007). Algebra Lineal y sus Aplicaciones. Prentice Hall




 



Complementária



               Hernández, E.  (1994). Álgebra y Geometría. Addison-Wesley. 
               Rojo, J. y Martín, I.  (2005). Ejercicios y problemas de Álgebra Lineal. McGraw-Hill. 
               Lidl, R. y Pilz, G. (1998). Applied Abstract Algebra. Nueva York, Springer. 
               Torrecilla Jover, B. (1999). Fermat. El Mago de los Números. Nivola. 
               Van Lint, J. H. (1999). Introduction to Coding Theory. Berlín, Springer. 
               Singh, S. (2000). Los Códigos Secretos. Debate 
               Nakos, G. y Joyner, D. (1999). Álgebra lineal con aplicaciones. Thomson. 
               Nakos, G. y Joyner, D. (1998). Linear Algebra with Applications. Brooks Cole Publising




 

"
